C0023791,INHIBITS,C0165519,LOCATION_OF__SPEC__,C0030705,TREATS,C0033148,3
C0023791,ISA,C0003402,TREATS__SPEC__,C0030705,TREATS,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,PROCESS_OF__SPEC__,C0030705,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,PROCESS_OF__SPEC__,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0338656,PROCESS_OF__SPEC__,C0030705,TREATS,C0033148,3
C0023791,ISA,C0013227,ADMINISTERED_TO__SPEC__,C0030705,TREATS,C0033148,3
C0023791,compared_with,C0001047,ADMINISTERED_TO__SPEC__,C0030705,TREATS,C0033148,3
C0023791,higher_than,C0001047,ADMINISTERED_TO__SPEC__,C0030705,TREATS,C0033148,3
C0023791,LOCATION_OF,C0006104,PART_OF__SPEC__,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0600688,OCCURS_IN,C0030705,TREATS,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,OCCURS_IN,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0338656,OCCURS_IN,C0030705,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,OCCURS_IN,C0030705,TREATS,C0033148,3
C0023791,PREVENTS,C0242606,OCCURS_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,15751450,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,18655815,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,HAS_MESH,18655815,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,12133201,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,14991456,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,HAS_MESH,14991456,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,17982894,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,HAS_MESH,17982894,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,17917164,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,HAS_MESH,17917164,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,26529297,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,23454012,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,HAS_MESH,23454012,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,16989905,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,HAS_MESH,16989905,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,26650760,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,27457486,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,27376271,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,HAS_MESH,27376271,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,27792188,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,27801864,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,27294953,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,28561773,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,28269772,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,28654383,MENTIONED_IN,C0030705,TREATS,C0033148,3
